project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,Fixed-price,8.675756897081682e-06,0.00033542034092931295,0,0,-0.009986882075309421,0.0,1
road,FIDIC 13.8,1.3881211035330678e-06,0.0003776410051741722,23,0,-0.003994752830123766,0.06816925834507279,1
road,DAM,1.5349831618135003e-06,0.00037621963120544567,5,0,-0.003994752830123766,0.0623710184847129,1
road,Fixed-price,2.7158192000899646e-05,0.00033542034092931295,0,0,-0.015458487704574059,0.0,2
road,FIDIC 13.8,4.345310720143944e-06,0.00042837739693335936,23,0,-0.006183395081829621,0.12210835685914742,2
road,DAM,9.800090978298113e-06,0.00041862761321421376,4,0,-0.009521618937284627,0.08950299872846808,2
road,Fixed-price,8.500552478481151e-06,0.00033542034092931295,0,0,-0.009018087210435524,0.0,3
road,FIDIC 13.8,1.3600883965569843e-06,0.00038325008112440035,23,0,-0.003607234884174207,0.06637265433386506,3
road,DAM,1.563620346691369e-06,0.00038215378877190536,5,1,-0.004194807973305736,0.0617498771642129,3
road,Fixed-price,1.2321963871086088e-06,0.00033542034092931295,0,0,-0.003446403412619904,0.0,4
road,FIDIC 13.8,1.9715142193737746e-07,0.0003520395691901681,23,0,-0.0013785613650479644,0.02963020970911829,4
road,DAM,4.1472563990339724e-07,0.0003457886993170879,3,0,-0.0019466365597795438,0.025720126960099426,4
road,Fixed-price,1.7479979361346076e-05,0.00033542034092931295,0,0,-0.012771569865839216,0.0,5
road,FIDIC 13.8,2.7967966978153707e-06,0.00040701662638893097,23,0,-0.005108627946335681,0.09178574664546715,5
road,DAM,3.3021840990810254e-06,0.00041013571019334955,5,0,-0.005505526450541323,0.08256131879740074,5
road,Fixed-price,1.316207127053064e-05,0.00033542034092931295,0,0,-0.010940858618327151,0.0,6
road,FIDIC 13.8,2.1059314032849043e-06,0.00039512232044959733,23,0,-0.004376343447330858,0.07286912555813789,6
road,DAM,2.3742167857942584e-06,0.0003945149388011426,6,0,-0.0050388526227010955,0.06646360467888063,6
road,Fixed-price,1.0308272033331237e-05,0.00033542034092931295,0,0,-0.010383460862137137,0.0,7
road,FIDIC 13.8,1.649323525333e-06,0.00039058774057502244,23,0,-0.004153384344854863,0.08269429139655644,7
road,DAM,1.975104970245159e-06,0.00039222879913533267,5,0,-0.004404634460479825,0.07401257131800015,7
road,Fixed-price,7.019501968678171e-06,0.00033542034092931295,0,0,-0.008804793418865905,0.0,8
road,FIDIC 13.8,1.1231203149885085e-06,0.0003767259994674332,23,0,-0.0035219173675463677,0.05539121031947182,8
road,DAM,1.1546345758934443e-06,0.00037606436308321796,5,1,-0.003596890834875535,0.05212320082882389,8
road,Fixed-price,4.568217016876591e-06,0.00033542034092931295,0,0,-0.006745392425711885,0.0,9
road,FIDIC 13.8,7.309147227002551e-07,0.00037188903463317835,23,0,-0.0026981569702847485,0.041157634918617285,9
road,DAM,8.417839263925402e-07,0.0003684886120598172,4,0,-0.0032969535886522155,0.03881145813606144,9
road,Fixed-price,9.353582996899686e-06,0.00033542034092931295,0,0,-0.009255098223877031,0.0,10
road,FIDIC 13.8,1.4965732795039526e-06,0.0003883007527549605,23,0,-0.003702039289550818,0.06050828679303022,10
road,DAM,1.8850815081906578e-06,0.00038407801782022196,5,0,-0.004402306398254105,0.056061573724507874,10
road,Fixed-price,8.747751679460286e-06,0.00033542034092931295,0,0,-0.009065675092287298,0.0,11
road,FIDIC 13.8,1.3996402687136459e-06,0.0003731910628570915,23,0,-0.0036262700369149234,0.06706075246688867,11
road,DAM,1.70022222704269e-06,0.0003719181980596179,5,0,-0.004075967907162165,0.060570907144084286,11
road,Fixed-price,5.251076159798894e-06,0.00033542034092931295,0,0,-0.006610473622234228,0.0,12
road,FIDIC 13.8,8.401721855678231e-07,0.00036907953149781534,23,0,-0.0026441894488936912,0.05009542089516199,12
road,DAM,1.0467197413113035e-06,0.000366293854073898,5,0,-0.003449838185266868,0.04632104781710934,12
road,Fixed-price,3.5751993334727865e-05,0.00033542034092931295,0,0,-0.01818545226842195,0.0,13
road,FIDIC 13.8,5.720318933556465e-06,0.00042774892050339246,23,0,-0.007274180907368782,0.12407101003669264,13
road,DAM,1.456997688576617e-05,0.000418721467563421,5,0,-0.012067759327183028,0.08746259509800026,13
road,Fixed-price,8.405637332961573e-06,0.00033542034092931295,0,0,-0.008733968193703964,0.0,14
road,FIDIC 13.8,1.3449019732738533e-06,0.0003748858762779975,23,0,-0.0034935872774815857,0.06996316156161911,14
road,DAM,1.7730143115965462e-06,0.00037463435980934924,5,1,-0.004032523386195357,0.06216407302708114,14
road,Fixed-price,3.96736671827842e-06,0.00033542034092931295,0,0,-0.006251389903231527,0.0,15
road,FIDIC 13.8,6.347786749245464e-07,0.0003673498589132212,23,0,-0.0025005559612926165,0.05149848911600744,15
road,DAM,8.176769190091657e-07,0.0003648476869518669,4,0,-0.0029546473357393993,0.04624226801610148,15
road,Fixed-price,3.467920930847467e-06,0.00033542034092931295,0,0,-0.005868784974580113,0.0,16
road,FIDIC 13.8,5.548673489355945e-07,0.00036910111001724216,23,0,-0.002347513989832045,0.04642530813634986,16
road,DAM,9.218397684182502e-07,0.00036199710879137567,4,0,-0.003340523899237627,0.04088101956331395,16
road,Fixed-price,3.323471223144716e-06,0.00033542034092931295,0,0,-0.00544855373225657,0.0,17
road,FIDIC 13.8,5.317553957031546e-07,0.0003626644902969226,23,0,-0.002179421492902636,0.03387840146794602,17
